 Umagto ako sa baeay sang igkampod.,I went to my cousin's house.
 Mataeom ro siyaw.,The knife is sharp.
 Maeapad ro eugta ni Mang Kanor.,Mang Kanor's lot is wide.
 Nagdamgo ako kabii.,I dreamed last night.
 Bilog ro buean.,The moon is round.
 Gin-eapog ni Josh ro bola.,Josh threw the ball.
 Nagbakae si Maya sa baraka.,Maya bought from the store.
 Nagbalintong si Dan sa hagdan.,Dan fell down the stairs.
 Mahumot ro bueak.,The flowers smell nice.
 Nag-ihapon ako sa baeay sang klasmeyt.,I ate dinner at my classmate's house.
 Makaron eang owa nag-ilabas si Jonathan.,Only today did Jonathan not eat lunch.
 Mabueak ro eambong nga suksok ni Maria.,The clothes that Maria is wearing are flowery.
 Gin-eapog ni Asi ro sudlay sa idaeom it duyan.,Asi threw the comb under the craddle.
 Maaeam magsueat it mga istorya nga makataeangis ro akong kaklase.,My classmate is smart when it comes to writing stories that make people cry.
 Maeapad ro gaob nga nabu-oe nana sa pagbalintong sa hagdanan.,He got a wide bruise when he fell from the stairs.
 Ginbu-oe ni Sean ro baeonan ni Mark.,Sean took Mark's lunch-box.
 Napuno it baeas ro anang banig dahil kakaeangoy na eang sa baybay.,His mat became full of sand because he just went swimming at the beach.
 Ginhueat ni Aaron si Drey nga maghueag agod magdungan sanda.,Aaron waited for Drey so that they could move in unison.
 Maeapad ro binakae nga haboe ni Ronnie para sa anang katre.,The blanket that Ronnie bought for his bed was wide.
 Ginbugkos nana ro mga eansang ag gintago sa anang buesa.,He tied the nails together and hid them in his pocket.
 Si Bella hay gwapa nga bayi.,Bella is a beautiful girl.
 Idto sa bueutangan ro tinapay.,The bread is in the container.
 Madasig magdaeagan ro ayam.,The dog runs fast.
 Mahilig sa tanom si Janette.,Janette loves plants.
 Indi makita ni Jessica ro euwag.,Jessica cannot find the ladle.
 Gakita kami hinaga ni Dan sa plaza.,Dan and I will meet at the plaza tomorrow.
 Pirmi nga naulihi si Kyle sa klase.,Kyle is always late in class.
 Naubos eagi ro kwarta nga ginapadaea ni nanay.,The money that mother sent was already used up.
 Nagpaayos ako it ngipon kahapon.,I had my teeth fixed yesterday.
 Ginregaluhan ako ni Nick it pahumot.,Nick gifted me a perfume.
 Si Antonio ag Maria ro pangaean it akong ginikanan.,Antonio and Maria are the names of my parents.
 Ginhakwat ni James ro sangka sako nga bugas gamit ra abaga.,James used his shoulders to lift a sack of rice.
 Abante it daywa nga puntos ro grupo nanday Edward.,Edward’s team is leading with 2 points.
 Mas mabahoe ro alima ni Jane kaysa kay Kaila.,Jane’s hand is bigger than Kaila’s.
 Ako hay may napueo nga tudlo sa akong daywang alima.,I have 10 fingers on both of my hands.
 Adlaw-adlaw ginabunyagan ni lola Rosa ro ana nga mga tanom.,Lola Rosa waters her plants everyday.
 Manami ro among ilabas kaina.,Our lunch was very delicious.
 Sinampae ni Elsa si Anna dahil imaw hay gapina-ugtas.,Elsa slapped Anna because she is naughty.
 Maeapad ro baeay ni Pedro.,Pedro’s house is wide.
 Nagbakae it mantika si Juan sa tindahan.,Juan bought oil from the market.
 May an-um nga unga si Lolo Roberto.,Lolo Roberto has six children.
 Ginkaeos it kuring ro akong uyahon.,A cat scratched my face.
 Kanami pamantawon ro mga pispis sa sanga it puno.,The birds on the tree branch are nice to look at.
 Nagpanglimpyo si Alex sa likod it anda nga baeay gamit ro silhig.,Alex cleaned their backyard using a broom.
 Ginhutik ni Richandrey kay Kaila ro ana nga nailaan.,Richandrey whispered his crush’s name to Kaila.
 Manami ro ginabaligya nga panit it manok sa plaza.,The chicken skin being sold at the plaza is delicious.
 Ginbuksan ni Amara ro purtahan.,Amara opened the door.
 Makahaeawa ro hibayag ni Kate.,Kate’s laugh is contagious.
 Haaywanan ni Mikay ro anang kaeo.,Mikay left her hat.
 Abo kung kumaon it humay si Bobby.,Bobby eats a lot of rice.
